Num Date Open High Low Close "Adj Close" Volume "7-Day Avg" "30-Day Avg" "3-Day Slope" GOAL
0 1/2/1962 75 76.25 74.25 74.75 0.16 2073600    
1 1/3/1962 74.37 74.37 73.75 74 0.16 1420800    73.12
2 1/4/1962 74 74.62 72.5 73.12 0.16 1766400   -0.5433333333 71.25
3 1/5/1962 73.12 73.25 70 71.25 0.15 2620800   -0.9166666667 71.12
4 1/8/1962 71.25 71.25 69 71.12 0.15 2976000   -0.6666666667 71.5
5 1/9/1962 71.12 72.12 70.62 71.5 0.15 2236800   0.0833333333 71.87
6 1/10/1962 71.5 72.25 71.25 71.87 0.15 1881600 72.5157142857  0.25 72
7 1/11/1962 71.87 72 70.62 72 0.15 1564800 72.1228571429  0.1666666667 71
8 1/12/1962 72 72.12 70.75 71 0.15 1622400 71.6942857143  -0.29 71.75
9 1/15/1962 71.12 72 71.12 71.75 0.15 2035200 71.4985714286  -0.0833333333 72.37
10 1/16/1962 71.75 72.62 71.25 72.37 0.16 1334400 71.6585714286  0.4566666667 70.75
11 1/17/1962 72.25 72.25 70.25 70.75 0.15 2054400 71.6057142857  -0.3333333333 71.5
12 1/18/1962 70.75 71.5 70.62 71.5 0.15 1420800 71.6057142857  -0.29 72.12
13 1/19/1962 71.5 72.12 71.5 72.12 0.15 1276800 71.6414285714  0.4566666667 72.37
14 1/22/1962 72.25 73.25 72.25 72.37 0.16 1363200 71.6942857143  0.29 71
15 1/23/1962 72.12 72.12 70.75 71 0.15 2188800 71.6942857143  -0.3733333333 72.37
16 1/24/1962 71 72.62 70.75 72.37 0.16 1536000 71.7828571429  0 71.62
17 1/25/1962 72.37 72.87 71.12 71.62 0.15 1526400 71.6757142857  0.2066666667 71.37
18 1/26/1962 71.62 71.75 71.12 71.37 0.15 969600 71.7642857143  -0.3333333333 71.5
19 1/29/1962 71.37 71.75 71.25 71.5 0.15 979200 71.7642857143  -0.04 72.75
20 1/30/1962 72.37 73.5 72.37 72.75 0.16 1708800 71.8542857143  0.46 75
21 1/31/1962 72.75 75 72.62 75 0.16 1804800 72.23  1.1666666667 74.5
22 2/1/1962 75 75.37 73.75 74.5 0.16 2467200 72.73  0.5833333333 74.87
23 2/2/1962 74.5 74.87 74 74.87 0.16 1420800 73.0871428571  -0.0433333333 73.5
24 2/5/1962 74.75 74.75 73.5 73.5 0.16 1353600 73.3557142857  -0.3333333333 74.25
25 2/6/1962 73.75 74.5 73.75 74.25 0.16 998400 73.7671428571  -0.2066666667 75
26 2/7/1962 74.25 75 74 75 0.16 1622400 74.2671428571  0.5 75.5
27 2/8/1962 75 75.5 74.87 75.5 0.16 1689600 74.66  0.4166666667 75.12
28 2/9/1962 75.5 75.5 74.12 75.12 0.16 1449600 74.6771428571  0.04 75.12
29 2/12/1962 75.12 75.37 74.75 75.12 0.16 787200 74.7657142857 72.8313333333 -0.1266666667 76
30 2/13/1962 75.25 76 75.25 76 0.16 1161600 74.9271428571 72.873 0.2933333333 76.62
31 2/14/1962 76 76.87 75.87 76.62 0.16 1555200 75.3728571429 72.9603333333 0.5 77.75
32 2/15/1962 76.75 78 76.75 77.75 0.17 1795200 75.8728571429 73.1146666667 0.5833333333 77.25
33 2/16/1962 77.75 77.87 76.62 77.25 0.17 2246400 76.1942857143 73.3146666667 0.21 76.62
34 2/19/1962 77.25 77.62 76.25 76.62 0.16 1497600 76.3542857143 73.498 -0.3766666667 76.5
35 2/20/1962 76.62 76.62 75.5 76.5 0.16 1027200 76.5514285714 73.6646666667 -0.25 76.25
36 2/21/1962 76.5 76.87 75.75 76.25 0.16 1036800 76.7128571429 73.8106666667 -0.1233333333 75.5
37 2/23/1962 76.25 76.37 75.37 75.5 0.16 1564800 76.6414285714 73.9273333333 -0.3333333333 74.5
38 2/26/1962 75.5 75.75 73.87 74.5 0.16 1209600 76.3385714286 74.044 -0.5833333333 75
39 2/27/1962 74.5 75 74.37 75 0.16 892800 75.9457142857 74.1523333333 -0.1666666667 74.62
40 2/28/1962 75 75.25 74.37 74.62 0.16 1593600 75.57 74.2273333333 0.04 76
41 3/1/1962 75 76 75 76 0.16 873600 75.4814285714 74.4023333333 0.3333333333 76.5
42 3/2/1962 76.12 77 76.12 76.5 0.16 1209600 75.4814285714 74.569 0.6266666667 76.62
43 3/5/1962 76.62 77.25 76.62 76.62 0.16 1334400 75.5342857143 74.719 0.2066666667 75.5
44 3/6/1962 76.62 76.75 75.25 75.5 0.16 902400 75.5342857143 74.8233333333 -0.3333333333 76
45 3/7/1962 75.5 76.37 75.5 76 0.16 969600 75.7485714286 74.99 -0.2066666667 77.12
46 3/8/1962 76 77.37 75.75 77.12 0.17 1699200 76.0514285714 75.1483333333 0.54 78.25
47 3/9/1962 77.5 78.37 77.5 78.25 0.17 1900800 76.57 75.3693333333 0.75 78.37
48 3/12/1962 78.25 78.5 78 78.37 0.17 2025600 76.9085714286 75.6026666667 0.4166666667 78
49 3/13/1962 78.37 78.37 77.5 78 0.17 1238400 77.1228571429 75.8193333333 -0.0833333333 77.62
50 3/14/1962 78 78.12 77.12 77.62 0.17 1046400 77.2657142857 75.9816666667 -0.25 77.87
51 3/15/1962 77.62 78.5 77.25 77.87 0.17 1814400 77.6042857143 76.0773333333 -0.0433333333 78.37
52 3/16/1962 78 78.5 78 78.37 0.17 998400 77.9428571429 76.2063333333 0.25 77.5
53 3/19/1962 78.37 78.37 77.5 77.5 0.17 1065600 77.9971428571 76.294 -0.1233333333 77.5
